Contrast,Duration,Spread,PixelEnergy,PixelEnergy_mean,SpectralEnergy,NormalizedSpectralEnergy
0.02,0.2,15,2265376.1144,6.45158162643997,795452841929.844,0.0265831494706839
0.02,0.2,20,2265376.1144,6.45158162643997,795452841929.843,0.0265831494706839
0.02,0.2,25,2265376.1144,6.45158162643997,795452841929.843,0.0265831494706839
0.02,0.2,30,2265376.1144,6.45158162643997,795452841929.844,0.0265831494706839
0.02,0.2,35,2265376.1144,6.45158162643997,795452841929.844,0.0265831494706839
0.02,0.2,40,2265376.1144,6.45158162643997,795452841929.844,0.0265831494706839
0.02,0.2,45,2265376.1144,6.45158162643997,795452841929.843,0.0265831494706839
0.02,0.2,50,2265376.1144,6.45158162643997,795452841929.844,0.0265831494706839
0.02,0.25,5,2869478.132,6.45158549455787,1276260658247.77,0.0426512120560708
0.02,0.25,10,2869478.132,6.45158549455787,1276260658247.77,0.0426512120560708
0.02,0.25,15,2869478.132,6.45158549455788,1276260658247.77,0.0426512120560708
0.02,0.25,20,2869478.132,6.45158549455787,1276260658247.77,0.0426512120560708
0.02,0.25,25,2869478.132,6.45158549455787,1276260658247.77,0.0426512120560708
0.02,0.25,30,2869478.132,6.45158549455787,1276260658247.77,0.0426512120560708
0.02,0.25,35,2869478.132,6.45158549455787,1276260658247.77,0.0426512120560708
0.02,0.25,40,2869478.132,6.45158549455787,1276260658247.77,0.0426512120560708
0.02,0.25,45,2869478.132,6.45158549455787,1276260658247.77,0.0426512120560708
0.02,0.25,50,2869478.132,6.45158549455787,1276260658247.77,0.0426512120560708
0.02,0.3,5,3473580.1496,6.45158801724346,1870199867605.69,0.0625
0.02,0.3,10,3473580.1496,6.45158801724346,1870199867605.69,0.0625
0.02,0.3,15,3473580.1496,6.45158801724346,1870199867605.69,0.0625
0.02,0.3,20,3473580.1496,6.45158801724346,1870199867605.69,0.0625
0.02,0.3,25,3473580.1496,6.45158801724346,1870199867605.69,0.0624999999999999
0.02,0.3,30,3473580.1496,6.45158801724346,1870199867605.69,0.0625
0.02,0.3,35,3473580.1496,6.45158801724346,1870199867605.69,0.0625
0.02,0.3,40,3473580.1496,6.45158801724346,1870199867605.69,0.0625
0.02,0.3,45,3473580.1496,6.45158801724346,1870199867605.69,0.0625
0.02,0.3,50,3473580.1496,6.45158801724346,1870199867605.69,0.0625
0.022,0.05,5,730955.63486,7.80635262997138,68443761825.7509,0.00228731441393266
0.022,0.05,10,730955.63486,7.80635262997138,68443761825.751,0.00228731441393266
0.022,0.05,15,730955.63486,7.80635262997138,68443761825.7509,0.00228731441393266
0.022,0.05,20,730955.63486,7.80635262997138,68443761825.7509,0.00228731441393266
0.022,0.05,25,730955.63486,7.80635262997138,68443761825.7509,0.00228731441393266
0.022,0.05,30,730955.63486,7.80635262997138,68443761825.7509,0.00228731441393266
0.022,0.05,35,730955.63486,7.80635262997138,68443761825.7509,0.00228731441393266
0.022,0.05,40,730955.63486,7.80635262997138,68443761825.7509,0.00228731441393266
0.022,0.05,45,730955.63486,7.80635262997138,68443761825.7509,0.00228731441393266
0.022,0.05,50,730955.63486,7.80635262997138,68443761825.7509,0.00228731441393266
0.022,0.08,5,1096437.355508,7.80638041998092,153999012330.521,0.00514647575233753
0.022,0.08,10,1096437.355508,7.80638041998092,153999012330.521,0.00514647575233753
0.022,0.08,15,1096437.355508,7.80638041998092,153999012330.521,0.00514647575233753
0.022,0.08,20,1096437.355508,7.80638041998092,153999012330.521,0.00514647575233753
0.022,0.08,25,1096437.355508,7.80638041998092,153999012330.521,0.00514647575233753
0.022,0.08,30,1096437.355508,7.80638041998092,153999012330.521,0.00514647575233753
0.022,0.08,35,1096437.355508,7.80638041998092,153999012330.521,0.00514647575233753
0.022,0.08,40,1096437.355508,7.80638041998092,153999012330.521,0.00514647575233753
0.022,0.08,45,1096437.355508,7.80638041998092,153999012330.521,0.00514647575233753
0.022,0.08,50,1096437.355508,7.80638041998092,153999012330.521,0.00514647575233753
0.022,0.09,5,1279178.215832,7.80638835998364,209609979980.879,0.00700493245439961
0.022,0.09,10,1279178.215832,7.80638835998365,209609979980.879,0.00700493245439961
0.022,0.09,15,1279178.215832,7.80638835998364,209609979980.879,0.00700493245439961
0.022,0.09,20,1279178.215832,7.80638835998364,209609979980.879,0.00700493245439961
0.022,0.09,25,1279178.215832,7.80638835998364,209609979980.879,0.00700493245439961
0.022,0.09,30,1279178.215832,7.80638835998364,209609979980.879,0.00700493245439961
0.022,0.09,35,1279178.215832,7.80638835998364,209609979980.879,0.00700493245439961
0.022,0.09,40,1279178.215832,7.80638835998364,209609979980.879,0.00700493245439961
0.022,0.09,45,1279178.215832,7.80638835998364,209609979980.879,0.00700493245439961
0.022,0.09,50,1279178.215832,7.80638835998365,209609979980.879,0.00700493245439961
0.022,0.1,5,1461919.076156,7.80639431498569,273776509229.886,0.00914930651170145
0.022,0.1,10,1461919.076156,7.80639431498569,273776509229.886,0.00914930651170145
0.022,0.1,15,1461919.076156,7.80639431498569,273776509229.886,0.00914930651170144
0.022,0.1,20,1461919.076156,7.80639431498569,273776509229.886,0.00914930651170145
0.022,0.1,25,1461919.076156,7.80639431498569,273776509229.886,0.00914930651170144
0.022,0.1,30,1461919.076156,7.80639431498569,273776509229.886,0.00914930651170145
0.022,0.1,35,1461919.076156,7.80639431498569,273776509229.886,0.00914930651170144
0.022,0.1,40,1461919.076156,7.80639431498569,273776509229.886,0.00914930651170145
0.022,0.1,45,1461919.076156,7.80639431498569,273776509229.886,0.00914930651170145
0.022,0.1,50,1461919.076156,7.80639431498569,273776509229.886,0.00914930651170144
0.022,0.12,5,1644659.93648,7.80639894665395,346498600077.542,0.011579597924243
